English,Icelandic
Stjörnufræði,astrology
Stjörnufræði,astronomy
Stjarnfræði,astronomy
Stjarnvísindi,astronomy
horoscope,stjörnuspá
Aries,Hrútur
Taurus,Naut
Gemini,Tvíburar
Gemini,Tvíburi
Cancer,Krabbi
Leo,Ljón
Leo,Ljónið
Virgo,Meyja
Libra,Vog
Scorpio,Sporðdreki
Sagittarius,Bogmaður
Capricorn,Steingeit
Aquarius,Vatnsberi
Pisces,Fiskar
Pisces,Fiskur
