áritað,inscribed
áritað,signed
áritað,autographed
áritað,filled out
forskráð,
atvikum,
tekjuhlið,revenue side
kaupdagur,
tæmandi,exhaustive
tilefni,
eftirtalinna,
hvort eftir er að færa,
innlendum,
sem fram koma,
viðeigandi,relevant
viðeigandi,suitable
berst,
samsköttun,joint taxation
óvígðri
bráðabirgða,
ívilnun,
greinargerð,
lausafjár,
erfðafjárskattur,
hlunnindi,benefit
hlunnindi,perk
vísindastarfa,
lífeyrisgreiðslur,
umfram,beyond
umfram,above
hreinar tekjur,
samræmingarblaði,worksheet
samræmingarblaði,reconciliation sheet
sjálfstæðri starfsemi,
eigin atvinnurekstur,
iðgjald,
framlög,
almannaheillafélaga,
getraunum,
talnaleikjum,
úttekt,
innlendum,
unreiknings,
sparisjóða,
skattskylt,
fastanúmer,
tekjuskattskvöð,
flyst af,
vinnuframlagi,
fyrnanlegar,
viðskipti,
stofnfjáreign,
eignahlið,
yfirliti,
bankastofnunum,
staðgreiðsla,
tilfærir,
