varða,regards
væntur,
viðeigandi,relevant
stærðir,quantities
stærðir,costs
sokkinn kostnaður,sunk costs
söguleg kostnaður,sunk costs
óafturkræfur kostnaður,sunk costs
útgangspunktur,starting point
sjónarmið,viewpoint
sjónarmið,perspective
gagna,data
gagna,use
gagna,help
enda þótt,even though
enda þótt,despite
afkomu, profit
afkomu,financial situation
heildarímynd fyrirtækisins,overall company image
kostnaðarauki,
viðbótakostnaður,
tekjuauki,
viðbótartekjur,
einsskiptis sérpantanir,special orders
hýsing,in-house
hýsing,lodging
hýsing,housing
úthýsing,outsourcing
framleiðslusamsetning,
ábati af viðskiptavinum,customer profitability
geirinn,slice
geirinn,segment
geirinn,sector
geirinn,field
greinin,branch
greinin,article
greinin, discipline
ónýtt framleiðslugeta,unused production capability
þær tekjur,
þann kostnað,
forðist, avoid
forðist,dodge
forðist,eschew
fullyrðingar,statements
fullyrðingar,assertion
fullyrðingar,claim
verulegar,real
verulegar,significant
staðgreiðslusala,cash sale
innheimtist,recover
innheimtist,collect
þeim næsta,the next one
ársfjórðungi,quarter
ársfj.,quarter
söluáætlun,
áætlun um sölu- og stjórnunarkostnað, selling and administrative expense budget
söluþóknun,commission
afskriftir skrifstofutækja,depreciation of office equipment
heildar kostnaðurinn,total cost
muni,difference
muni,will
muni,shall
vörunotkun,
forsendum,prerequisite
forsendum,condition
fengnar,get
fengnar,recieve
fengnar,obtain
framleiðsluáætlun,production budget
afkastageta véla,machine capacity
skrifstofutækja,office equipment
stofnað,established
áætlanagerð,budgetary planning
vera staddur,to be at
vera staddur, to be situated
