Icelandic,English
greiðsluhæfi,liquidity
virðismat eigna,value vs. cost
sanngjörnu matsvirði,fair value
lausafjármunir,current assets
fastafjármunir,non-current assets
heildareignir,total assets
rekstrarreikningur,income statement
